Stt,Tỉnh mới,Gộp từ các tỉnh cũ,Phường/xã mới,Sát nhập từ các Phường/xã trước
905,Gia Lai,"Gia Lai, Bình Định",Xã Đak Rong,"Xã Kon Pne, Xã Đak Rong"
906,Gia Lai,"Gia Lai, Bình Định",Xã Đak Sơmei,"Xã Hà Đông, Xã Đak Sơmei"
907,Gia Lai,"Gia Lai, Bình Định",Xã Đăk Song,"Xã Đăk Pling, Xã Đăk Song"
908,Gia Lai,"Gia Lai, Bình Định",Xã Đề Gi,"Thị trấn Cát Khánh, Xã Cát Minh, Xã Cát Tài"
909,Gia Lai,"Gia Lai, Bình Định",Phường Đức Cơ,"Thị trấn Chư Ty, Xã Ia Kriêng"
910,Gia Lai,"Gia Lai, Bình Định",Xã Gào,"Xã Ia Kênh, Xã Ia Pếch, Xã Gào"
911,Gia Lai,"Gia Lai, Bình Định",Xã Hòa Hội,"Xã Cát Hanh, Xã Cát Hiệp"
912,Gia Lai,"Gia Lai, Bình Định",Xã Hoài Ân,"Thị trấn Tăng Bạt Hổ, Xã Ân Phong, Xã Ân Đức, Xã Ân Tường Đông"
913,Gia Lai,"Gia Lai, Bình Định",Phường Hoài Nhơn,"Phường Hoài Thanh, Phường Tam Quan Nam, Phường Hoài Thanh Tây"
914,Gia Lai,"Gia Lai, Bình Định",Xã Hoài Nhơn Bắc,"Phường Tam Quan Bắc, Xã Hoài Sơn, Xã Hoài Châu Bắc"
915,Gia Lai,"Gia Lai, Bình Định",Xã Hoài Nhơn Đông,"Phường Hoài Hương, Xã Hoài Hải, Xã Hoài Mỹ"
916,Gia Lai,"Gia Lai, Bình Định",Phường Hoài Nhơn Nam,"Phường Hoài Tân, Phường Hoài Xuân"
917,Gia Lai,"Gia Lai, Bình Định",Phường Hoài Nhơn Tây,"Phường Hoài Hảo, Xã Hoài Phú"
918,Gia Lai,"Gia Lai, Bình Định",Phường Hội Phú,"Phường Trà Bá, Phường Chi Lăng, Phường Hội Phú"
919,Gia Lai,"Gia Lai, Bình Định",Xã Hội Sơn,"Xã Cát Lâm, Xã Cát Sơn"
920,Gia Lai,"Gia Lai, Bình Định",Xã Hra,"Xã Đak Ta Ley, Xã Hra"
921,Gia Lai,"Gia Lai, Bình Định",Xã Ia Băng,"Xã Ia Băng (huyện Đak Đoa), Xã Adơk, Xã Ia Pết"
922,Gia Lai,"Gia Lai, Bình Định",Xã Ia Boòng,"Xã Ia O (huyện Chư Prông), Xã Ia Me, Xã Ia Boòng"
923,Gia Lai,"Gia Lai, Bình Định",Phường Ia Chia,Ia Chia
924,Gia Lai,"Gia Lai, Bình Định",Phường Ia Dom,Ia Dom
925,Gia Lai,"Gia Lai, Bình Định",Xã Ia Dơk,"Xã Ia Kla, Xã Ia Dơk"
926,Gia Lai,"Gia Lai, Bình Định",Xã Ia Dreh,"Xã Ia Rmok, Xã Krông Năng, Xã Ia Dreh"
927,Gia Lai,"Gia Lai, Bình Định",Xã Ia Grai,"Thị trấn Ia Kha, Xã Ia Bă, Xã Ia Grăng"
928,Gia Lai,"Gia Lai, Bình Định",Xã Ia Hiao,"Xã Chrôh Pơnan, Xã Ia Peng, Xã Ia Hiao"
929,Gia Lai,"Gia Lai, Bình Định",Xã Ia Hrú,"Xã Ia Dreng, Xã Ia Rong, Xã HBông, Xã Ia Hrú"
930,Gia Lai,"Gia Lai, Bình Định",Xã Ia Hrung,"Xã Ia Sao (huyện Ia Grai), Xã Ia Yok, Xã Ia Dêr, Xã Ia Hrung"
931,Gia Lai,"Gia Lai, Bình Định",Xã Ia Khươl,"Xã Đăk Tơ Ver, Xã Hà Tây, Xã Ia Khươl"
932,Gia Lai,"Gia Lai, Bình Định",Xã Ia Ko,"Xã Ia Hlốp, Xã Ia Hla, Xã Ia Ko"
933,Gia Lai,"Gia Lai, Bình Định",Xã Ia Krái,"Xã Ia Tô, Xã Ia Khai, Xã Ia Krái"
934,Gia Lai,"Gia Lai, Bình Định",Xã Ia Krêl,"Xã Ia Lang, Xã Ia Din, Xã Ia Krêl"
935,Gia Lai,"Gia Lai, Bình Định",Xã Ia Lâu,"Xã Ia Piơr, Xã Ia Lâu"
936,Gia Lai,"Gia Lai, Bình Định",Xã Ia Le,"Xã Ia Blứ, Xã Ia Le"
937,Gia Lai,"Gia Lai, Bình Định",Xã Ia Ly,"Thị trấn Ia Ly, Xã Ia Mơ Nông, Xã Ia Kreng"
938,Gia Lai,"Gia Lai, Bình Định",Phường Ia Mơ,Ia Mơ
939,Gia Lai,"Gia Lai, Bình Định",Phường Ia Nan,Ia Nan
940,Gia Lai,"Gia Lai, Bình Định",Phường Ia O,Ia O
941,Gia Lai,"Gia Lai, Bình Định",Xã Ia Pa,"Xã Ia Mrơn, Xã Kim Tân, Xã Ia Trôk"
942,Gia Lai,"Gia Lai, Bình Định",Xã Ia Phí,"Xã Ia Ka, Xã Ia Nhin, Xã Ia Phí"
943,Gia Lai,"Gia Lai, Bình Định",Xã Ia Pia,"Xã Ia Ga, Xã Ia Vê, Xã Ia Pia"
944,Gia Lai,"Gia Lai, Bình Định",Phường Ia Pnôn,Ia Pnôn
945,Gia Lai,"Gia Lai, Bình Định",Phường Ia Púch,Ia Púch
946,Gia Lai,"Gia Lai, Bình Định",Xã Ia Rbol,"Xã Chư Băh, Xã Ia Rbol"
947,Gia Lai,"Gia Lai, Bình Định",Xã Ia Rsai,"Xã Chư RCăm, Xã Chư Gu, Xã Ia Rsai"
948,Gia Lai,"Gia Lai, Bình Định",Xã Ia Sao,"Xã Ia Sao (thị xã Ayun Pa), Xã Ia Rtô"
949,Gia Lai,"Gia Lai, Bình Định",Xã Ia Tôr,"Xã Ia Băng (huyện Chư Prông), Xã Ia Bang, Xã Ia Tôr"
950,Gia Lai,"Gia Lai, Bình Định",Xã Ia Tul,"Xã Chư Mố, Xã Ia Broăi, Xã Ia Kdăm, Xã Ia Tul"
951,Gia Lai,"Gia Lai, Bình Định",Xã Kbang,"Thị trấn Kbang, Xã Lơ Ku, Xã Đak Smar"
952,Gia Lai,"Gia Lai, Bình Định",Xã KDang,"Xã Hnol, Xã Trang, Xã KDang"
953,Gia Lai,"Gia Lai, Bình Định",Xã Kim Sơn,"Xã Ân Nghĩa, Xã Bok Tới"
954,Gia Lai,"Gia Lai, Bình Định",Xã Kon Chiêng,"Xã Đak Trôi, Xã Kon Chiêng"
955,Gia Lai,"Gia Lai, Bình Định",Xã Kon Gang,"Xã Đak Krong, Xã Hneng, Xã Nam Yang, Xã Kon Gang"
956,Gia Lai,"Gia Lai, Bình Định",Xã Kông Bơ La,"Xã Đông, Xã Nghĩa An, Xã Kông Bơ La"
957,Gia Lai,"Gia Lai, Bình Định",Xã Kông Chro,"Thị trấn Kông Chro, Xã Yang Trung, Xã Yang Nam"
958,Gia Lai,"Gia Lai, Bình Định",Phường Krong,Krong
959,Gia Lai,"Gia Lai, Bình Định",Xã Lơ Pang,"Xã Đê Ar, Xã Kon Thụp, Xã Lơ Pang"
960,Gia Lai,"Gia Lai, Bình Định",Xã Mang Yang,"Thị trấn Kon Dơng, Xã Đăk Yă, Xã Đak Djrăng, Xã Hải Yang"
961,Gia Lai,"Gia Lai, Bình Định",Xã Ngô Mây,"Xã Cát Hưng, Xã Cát Thắng, Xã Cát Chánh"
962,Gia Lai,"Gia Lai, Bình Định",Phường Nhơn Châu,Nhơn Châu
963,Gia Lai,"Gia Lai, Bình Định",Xã Phù Cát,"Thị trấn Ngô Mây, Xã Cát Trinh, Xã Cát Tân"
964,Gia Lai,"Gia Lai, Bình Định",Xã Phù Mỹ,"Thị trấn Phù Mỹ, Xã Mỹ Quang, Xã Mỹ Chánh Tây"
965,Gia Lai,"Gia Lai, Bình Định",Xã Phù Mỹ Bắc,"Xã Mỹ Đức, Xã Mỹ Châu, Xã Mỹ Lộc"
966,Gia Lai,"Gia Lai, Bình Định",Xã Phù Mỹ Đông,"Xã Mỹ An, Xã Mỹ Thọ, Xã Mỹ Thắng"
967,Gia Lai,"Gia Lai, Bình Định",Xã Phù Mỹ Nam,"Xã Mỹ Tài, Xã Mỹ Hiệp"
968,Gia Lai,"Gia Lai, Bình Định",Xã Phù Mỹ Tây,"Xã Mỹ Trinh, Xã Mỹ Hòa"
969,Gia Lai,"Gia Lai, Bình Định",Xã Phú Thiện,"Thị trấn Phú Thiện, Xã Ia Sol, Xã Ia Piar, Xã Ia Yeng"
970,Gia Lai,"Gia Lai, Bình Định",Xã Phú Túc,"Thị trấn Phú Túc, Xã Phú Cần, Xã Chư Ngọc, Xã Ia Mlah, Xã Đất Bằng"
971,Gia Lai,"Gia Lai, Bình Định",Phường Pleiku,"Phường Tây Sơn (thành phố Pleiku), Phường Hội Thương, Phường Hoa Lư,
Phường Phù Đổng, Xã Trà Đa"
972,Gia Lai,"Gia Lai, Bình Định",Xã Pờ Tó,"Xã Chư Răng, Xã Pờ Tó"
973,Gia Lai,"Gia Lai, Bình Định",Phường Quy Nhơn,"Phường Đống Đa (thành phố Quy Nhơn), Phường Hải Cảng, Phường Thị
Nại, Phường Trần Phú"
974,Gia Lai,"Gia Lai, Bình Định",Phường Quy Nhơn Bắc,"Phường Trần Quang Diệu, Phường Nhơn Phú"
975,Gia Lai,"Gia Lai, Bình Định",Xã Quy Nhơn Đông,"Phường Nhơn Bình, Xã Nhơn Hội, Xã Nhơn Lý, Xã Nhơn Hải"
976,Gia Lai,"Gia Lai, Bình Định",Phường Quy Nhơn Nam,"Phường Ngô Mây (thành phố Quy Nhơn), Phường Nguyễn Văn Cừ, Phường
Quang Trung, Phường Ghềnh Ráng"
977,Gia Lai,"Gia Lai, Bình Định",Phường Quy Nhơn Tây,"Phường Bùi Thị Xuân, Xã Phước Mỹ"
978,Gia Lai,"Gia Lai, Bình Định",Xã Sơn Lang,"Xã Sơ Pai, Xã Sơn Lang"
979,Gia Lai,"Gia Lai, Bình Định",Xã SRó,"Xã Đăk Kơ Ning, Xã SRó"
980,Gia Lai,"Gia Lai, Bình Định",Phường Tam Quan,"Phường Tam Quan, Xã Hoài Châu"
981,Gia Lai,"Gia Lai, Bình Định",Xã Tây Sơn,"Thị trấn Phú Phong, Xã Tây Xuân, Xã Bình Nghi"
982,Gia Lai,"Gia Lai, Bình Định",Phường Thống Nhất,"Phường Đống Đa (thành phố Pleiku), Phường Yên Thế, Phường Thống Nhất"
983,Gia Lai,"Gia Lai, Bình Định",Xã Tơ Tung,"Xã Kông Lơng Khơng, Xã Tơ Tung"
984,Gia Lai,"Gia Lai, Bình Định",Xã Tuy Phước,"Thị trấn Tuy Phước, Thị trấn Diêu Trì, Xã Phước Thuận, Xã Phước Nghĩa,
Xã Phước Lộc"
985,Gia Lai,"Gia Lai, Bình Định",Xã Tuy Phước Bắc,"Xã Phước Hiệp, Xã Phước Hưng, Xã Phước Quang"
986,Gia Lai,"Gia Lai, Bình Định",Xã Tuy Phước Đông,"Xã Phước Sơn, Xã Phước Hòa, Xã Phước Thắng"
987,Gia Lai,"Gia Lai, Bình Định",Xã Tuy Phước Tây,"Xã Phước An, Xã Phước Thành"
988,Gia Lai,"Gia Lai, Bình Định",Xã Uar,"Xã Ia Rsươm, Xã Chư Drăng, Xã Uar"
989,Gia Lai,"Gia Lai, Bình Định",Xã Vạn Đức,"Xã Ân Sơn, Xã Ân Tín, Xã Ân Thạnh"
990,Gia Lai,"Gia Lai, Bình Định",Xã Vân Canh,"Thị trấn Vân Canh, Xã Canh Thuận, Xã Canh Hòa, Xã Canh Hiệp"
991,Gia Lai,"Gia Lai, Bình Định",Xã Vĩnh Quang,"Xã Vĩnh Thuận, Xã Vĩnh Hòa, Xã Vĩnh Quang"
992,Gia Lai,"Gia Lai, Bình Định",Xã Vĩnh Sơn,"Xã Vĩnh Kim, Xã Vĩnh Sơn"
993,Gia Lai,"Gia Lai, Bình Định",Phường Vĩnh Thạnh,"Thị trấn Vĩnh Thạnh, Xã Vĩnh Hảo"
994,Gia Lai,"Gia Lai, Bình Định",Xã Vĩnh Thịnh,"Xã Vĩnh Hiệp, Xã Vĩnh Thịnh"
995,Gia Lai,"Gia Lai, Bình Định",Xã Xuân An,"Xã Cát Nhơn, Xã Cát Tường"
996,Gia Lai,"Gia Lai, Bình Định",Xã Ya Hội,"Xã Phú An, Xã Ya Hội"
997,Gia Lai,"Gia Lai, Bình Định",Xã Ya Ma,"Xã Đăk Tơ Pang, Xã Kông Yang, Xã Ya Ma"
998,Hà Nội,Hà Nội,Xã An Khánh,"Xã Đông La, Phường Dương Nội (phần còn lại sau khi sáp nhập vào phường Tây Mỗ, phường Đại Mỗ, phường Dương Nội), Xã An Khánh (phần còn lại sau khi sáp nhập vào phường Tây Mỗ, xã Sơn Đồng), Xã La Phù (phần còn lại sau khi sáp nhập vào phường Dương Nội), Xã Song Phương (phần còn lại sau khi sáp nhập vào xã Sơn Đồng), Xã Vân Côn (phần còn lại sau khi sáp nhập vào xã Sơn Đồng), Xã An Thượng (phần còn lại sau khi sáp nhập vào
xã Sơn Đồng)"
999,Hà Nội,Hà Nội,Phường Ba Đình,"Phường Quán Thánh, Phường Trúc Bạch, Phường Cửa Nam, Phường Điện Biên, Phường Đội Cấn, Phường Kim Mã, Phường Ngọc Hà, Phường Thụy Khuê, Phường Cửa Đông (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm), Phường Đồng Xuân (phần còn lại sau khi sáp nhập vào phường Hoàn
Kiếm)"
1000,Hà Nội,Hà Nội,Xã Ba Vì,"Xã Ba Vì, Xã Khánh Thượng, Xã Minh Quang (phần còn lại sau khi sáp
nhập vào xã Bất Bạt)"
1001,Hà Nội,Hà Nội,Phường Bạch Mai,"Phường Bạch Mai, Phường Bách Khoa, Phường Quỳnh Mai, Phường Minh Khai (quận Hai Bà Trưng), Phường Đồng Tâm, Phường Lê Đại Hành, Phường Phương Mai, Phường Trương Định, Phường Thanh Nhàn (phần còn
lại sau khi sáp nhập vào phường Hai Bà Trưng)"
1002,Hà Nội,Hà Nội,Xã Bát Tràng,"Xã Kim Đức, Phường Cự Khối (phần còn lại sau khi sáp nhập vào phường Long Biên), Phường Thạch Bàn (phần còn lại sau khi sáp nhập vào phường Long Biên, phường Phúc Lợi, xã Gia Lâm), Thị trấn Trâu Quỳ (phần còn lại sau khi sáp nhập vào xã Gia Lâm), Xã Đa Tốn (phần còn lại sau khi sáp nhập vào xã Gia Lâm), Xã Bát Tràng (phần còn lại sau khi sáp nhập vào phường
Long Biên, xã Gia Lâm)"
1003,Hà Nội,Hà Nội,Xã Bất Bạt,"Xã Thuần Mỹ, Xã Tòng Bạt, Xã Sơn Đà, Xã Cẩm Lĩnh, Xã Minh Quang"
1004,Hà Nội,Hà Nội,Xã Bình Minh,"Xã Bích Hòa, Xã Bình Minh, Xã Cao Viên, Xã Thanh Cao, Xã Lam Điền, Xã Cự Khê (phần còn lại sau khi sáp nhập vào phường Phú Lương), Phường Phú Lương (phần còn lại sau khi sáp nhập vào phường Phú Lương, phường
Kiến Hưng)"
1005,Hà Nội,Hà Nội,Phường Bồ Đề,"Phường Ngọc Lâm, Phường Đức Giang, Phường Gia Thụy, Phường Thượng Thanh, Phường Phúc Đồng, Phường Ngọc Thụy (phần còn lại sau khi sáp nhập vào phường Hồng Hà), Phường Bồ Đề (phần còn lại sau khi sáp nhập vào phường Hồng Hà, phường Long Biên), Phường Long Biên (phần còn lại
sau khi sáp nhập vào phường Long Biên)"
1006,Hà Nội,Hà Nội,Phường Cầu Giấy,"Phường Dịch Vọng, Phường Dịch Vọng Hậu, Phường Quan Hoa, Phường
Mỹ Đình 1, Phường Mỹ Đình 2, Phường Yên Hòa"
1007,Hà Nội,Hà Nội,Xã Chuyên Mỹ,"Xã Tân Dân (huyện Phú Xuyên), Xã Châu Can, Xã Phú Yên, Xã Vân Từ, Xã
Chuyên Mỹ"
1008,Hà Nội,Hà Nội,Xã Chương Dương,"Xã Chương Dương, Xã Lê Lợi, Xã Thắng Lợi, Xã Tự Nhiên, Xã Tô Hiệu, Xã
Vạn Nhất"
1009,Hà Nội,Hà Nội,Xã Chương Mỹ,"Phường Biên Giang, Thị trấn Chúc Sơn, Xã Đại Yên, Xã Ngọc Hòa, Xã Phụng Châu, Xã Tiên Phương, Xã Thuỵ Hương, Phường Đồng Mai (phần
còn lại sau khi sáp nhập vào phường Yên Nghĩa)"
1010,Hà Nội,Hà Nội,Xã Cổ Đô,"Xã Phú Cường (huyện Ba Vì), Xã Cổ Đô, Xã Phong Vân, Xã Phú Hồng, Xã
Phú Đông, Xã Vạn Thắng"
1011,Hà Nội,Hà Nội,Phường Cửa Nam,"Phường Hàng Bài, Phường Phan Chu Trinh, Phường Trần Hưng Đạo, Phường Cửa Nam, Phường Nguyễn Du, Phường Phạm Đình Hổ, Phường
Hàng Bông (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm), Phường Hàng Trống (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm), Phường Tràng Tiền (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm)"
1012,Hà Nội,Hà Nội,Xã Dân Hòa,"Xã Cao Xuân Dương, Xã Hồng Dương, Xã Liên Châu, Xã Tân Ước, Xã Dân
Hòa"
1013,Hà Nội,Hà Nội,Xã Dương Hòa,"Xã Cát Quế, Xã Dương Liễu, Xã Đắc Sở, Xã Minh Khai, Xã Yên Sở"
1014,Hà Nội,Hà Nội,Phường Dương Nội,"Phường Dương Nội, Phường Phú La, Phường Yên Nghĩa, Xã La Phù, Phường Đại Mỗ (phần còn lại sau khi sáp nhập vào phường Xuân Phương, phường Tây Mỗ, phường Đại Mỗ, phường Hà Đông), Phường La Khê (phần
còn lại sau khi sáp nhập vào phường Hà Đông)"
1015,Hà Nội,Hà Nội,Xã Đa Phúc,"Xã Bắc Phú, Xã Đức Hoà, Xã Kim Lũ, Xã Tân Hưng, Xã Việt Long, Xã
Xuân Giang, Xã Xuân Thu"
1016,Hà Nội,Hà Nội,Phường Đại Mỗ,"Phường Đại Mỗ, Phường Dương Nội, Phường Mộ Lao, Phường Mễ Trì (phần còn lại sau khi sáp nhập vào phường Yên Hòa, phường Từ Liêm), Phường Nhân Chính (phần còn lại sau khi sáp nhập vào phường Thanh Xuân, phường Yên Hòa), Phường Trung Hòa (phần còn lại sau khi sáp nhập vào phường Thanh Xuân, phường Yên Hòa), Phường Phú Đô (phần còn lại sau khi sáp nhập vào phường Từ Liêm), Phường Trung Văn (phần còn lại sau khi sáp
nhập vào phường Thanh Xuân)"
1017,Hà Nội,Hà Nội,Xã Đại Thanh,"Xã Tam Hiệp (huyện Thanh Trì) (phần còn lại sau khi sáp nhập vào phường Hoàng Liệt), Xã Hữu Hòa (phần còn lại sau khi sáp nhập vào phường Phú Lương), Phường Kiến Hưng (phần còn lại sau khi sáp nhập vào phường Phú Lương, phường Kiến Hưng), Thị trấn Văn Điển (phần còn lại sau khi sáp nhập vào phường Hoàng Liệt, xã Thanh Trì), Xã Tả Thanh Oai (phần còn lại sau khi sáp nhập vào phường Thanh Liệt), Xã Vĩnh Quỳnh (phần còn lại sau
khi sáp nhập vào xã Thanh Trì)"
1018,Hà Nội,Hà Nội,Xã Đại Xuyên,"Xã Bạch Hạ, Xã Khai Thái, Xã Minh Tân, Xã Phúc Tiến, Xã Quang Lãng,
Xã Tri Thủy, Xã Đại Xuyên"
1019,Hà Nội,Hà Nội,Xã Đan Phượng,"Thị trấn Phùng, Xã Đồng Tháp, Xã Song Phượng, Xã Thượng Mỗ, Xã Đan
Phượng"
1020,Hà Nội,Hà Nội,Xã Định Công,"Phường Định Công, Phường Hoàng Liệt, Phường Thịnh Liệt, Xã Tân Triều,
Xã Thanh Liệt, Phường Đại Kim, Phường Giáp Bát (phần còn lại sau khi sáp nhập vào phường Hoàng Mai, phường Tương Mai)"
1021,Hà Nội,Hà Nội,Xã Đoài Phương,"Xã Kim Sơn, Xã Sơn Đông, Xã Cổ Đông"
1022,Hà Nội,Hà Nội,Xã Đông Anh,"Xã Cổ Loa, Xã Đông Hội, Xã Mai Lâm, Thị trấn Đông Anh, Xã Tàm Xá, Xã Tiên Dương, Xã Vĩnh Ngọc, Xã Xuân Canh, Xã Liên Hà (huyện Đông Anh) (phần còn lại sau khi sáp nhập vào xã Thư Lâm), Xã Dục Tú (phần còn lại sau khi sáp nhập vào xã Thư Lâm), Xã Uy Nỗ (phần còn lại sau khi sáp nhập vào xã Thư Lâm), Xã Việt Hùng (phần còn lại sau khi sáp nhập vào xã Thư
Lâm)"
1023,Hà Nội,Hà Nội,Phường Đống Đa,"Phường Thịnh Quang, Phường Quang Trung (quận Đống Đa), Phường Láng
Hạ, Phường Nam Đồng, Phường Ô Chợ Dừa, Phường Trung Liệt"
1024,Hà Nội,Hà Nội,Phường Đông Ngạc,"Phường Đức Thắng, Phường Cổ Nhuế 2, Phường Thụy Phương, Phường Minh Khai (quận Bắc Từ Liêm), Phường Đông Ngạc (phần còn lại sau khi sáp nhập vào phường Phú Thượng), Phường Xuân Đỉnh (phần còn lại sau khi
sáp nhập vào phường Phú Thượng, phường Xuân Đỉnh)"
1025,Hà Nội,Hà Nội,Xã Gia Lâm,"Xã Dương Xá, Xã Kiêu Kỵ, Thị trấn Trâu Quỳ, Phường Thạch Bàn, Xã Phú
Sơn (huyện Gia Lâm), Xã Cổ Bi, Xã Đa Tốn, Xã Bát Tràng"
1026,Hà Nội,Hà Nội,Phường Giảng Võ,"Phường Giảng Võ, Phường Cát Linh, Phường Láng Hạ, Phường Ngọc Khánh, Phường Thành Công, Phường Cống Vị (phần còn lại sau khi sáp nhập vào phường Ngọc Hà), Phường Kim Mã (phần còn lại sau khi sáp nhập
vào phường Ba Đình, phường Ngọc Hà)"
1027,Hà Nội,Hà Nội,Xã Hạ Bằng,"Xã Cần Kiệm, Xã Đồng Trúc, Xã Bình Yên, Xã Hạ Bằng, Xã Tân Xã, Xã
Phú Cát"
1028,Hà Nội,Hà Nội,Phường Hà Đông,"Phường Phúc La, Phường Vạn Phúc, Phường Quang Trung (quận Hà Đông), Phường Đại Mỗ, Phường Hà Cầu, Phường La Khê, Phường Văn Quán, Xã Tân Triều, Phường Mộ Lao (phần còn lại sau khi sáp nhập vào phường Đại
Mỗ)"
1029,Hà Nội,Hà Nội,Phường Hai Bà Trưng,"Phường Đồng Nhân, Phường Phố Huế, Phường Bạch Đằng, Phường Lê Đại
Hành, Phường Nguyễn Du, Phường Thanh Nhàn, Phường Phạm Đình Hổ (phần còn lại sau khi sáp nhập vào phường Cửa Nam)"
1030,Hà Nội,Hà Nội,Xã Hát Môn,"Xã Tam Hiệp (huyện Phúc Thọ), Xã Hiệp Thuận, Xã Liên Hiệp, Xã Ngọc
Tảo, Xã Tam Thuấn, Xã Thanh Đa, Xã Hát Môn"
1031,Hà Nội,Hà Nội,Xã Hòa Lạc,"Xã Tiến Xuân, Xã Thạch Hòa, Xã Cổ Đông (phần còn lại sau khi sáp nhập vào xã Đoài Phương), Xã Bình Yên (phần còn lại sau khi sáp nhập vào xã Hạ Bằng), Xã Hạ Bằng (phần còn lại sau khi sáp nhập vào xã Hạ Bằng), Xã Tân
Xã (phần còn lại sau khi sáp nhập vào xã Hạ Bằng)"
1032,Hà Nội,Hà Nội,Xã Hòa Phú,"Xã Hòa Phú (huyện Chương Mỹ), Xã Đồng Lạc, Xã Hồng Phú, Xã Thượng Vực, Xã Văn Võ, Xã Kim Thư (phần còn lại sau khi sáp nhập vào xã Thanh
Oai)"
1033,Hà Nội,Hà Nội,Xã Hòa Xá,"Xã Hòa Phú, Xã Thái Hòa (huyện Ứng Hòa), Xã Bình Lưu Quang, Xã Phù
Lưu"
1034,Hà Nội,Hà Nội,Xã Hoài Đức,"Thị trấn Trạm Trôi, Xã Di Trạch, Xã Đức Giang, Xã Đức Thượng, Phường Tây Tựu, Xã Tân Lập, Xã Kim Chung (huyện Hoài Đức) (phần còn lại sau
khi sáp nhập vào phường Tây Tựu)"
1035,Hà Nội,Hà Nội,Phường Hoàn Kiếm,"Phường Hàng Bạc, Phường Hàng Bồ, Phường Hàng Buồm, Phường Hàng
Đào, Phường Hàng Gai, Phường Hàng Mã, Phường Lý Thái Tổ, Phường Cửa Đông, Phường Cửa Nam, Phường Điện Biên, Phường Đồng Xuân, Phường
Hàng Bông, Phường Hàng Trống, Phường Tràng Tiền"
1036,Hà Nội,Hà Nội,Phường Hoàng Liệt,"Phường Hoàng Liệt, Thị trấn Văn Điển, Xã Tam Hiệp (huyện Thanh Trì), Xã
Thanh Liệt, Phường Đại Kim"
1037,Hà Nội,Hà Nội,Phường Hoàng Mai,"Phường Giáp Bát, Phường Hoàng Liệt, Phường Hoàng Văn Thụ, Phường
Lĩnh Nam, Phường Tân Mai, Phường Thịnh Liệt, Phường Tương Mai, Phường Trần Phú, Phường Vĩnh Hưng, Phường Yên Sở"
1038,Hà Nội,Hà Nội,Phường Hồng Hà,"Phường Chương Dương, Phường Phúc Tân, Phường Phúc Xá, Phường Nhật Tân, Phường Phú Thượng, Phường Quảng An, Phường Thanh Lương,  Phường Tứ Liên, Phường Yên Phụ, Phường Bồ Đề, Phường Ngọc Thụy, Phường Bạch Đằng (phần còn lại sau khi sáp nhập vào phường Hai Bà Trưng)"
1039,Hà Nội,Hà Nội,Xã Hồng Sơn,"Xã Phùng Xá (huyện Mỹ Đức), Xã An Mỹ, Xã Hợp Tiến, Xã Lê Thanh, Xã
Xuy Xá, Xã Hồng Sơn"
1040,Hà Nội,Hà Nội,Xã Hồng Vân,"Xã Hà Hồi, Xã Hồng Vân, Xã Liên Phương, Xã Vân Tảo, Xã Duyên Thái (phần còn lại sau khi sáp nhập vào xã Nam Phù, xã Ngọc Hồi), Xã Ninh Sở (phần còn lại sau khi sáp nhập vào xã Nam Phù), Xã Đông Mỹ (phần còn lại
sau khi sáp nhập vào xã Nam Phù)"
1041,Hà Nội,Hà Nội,Xã Hưng Đạo,"Xã Cộng Hoà, Xã Đồng Quang, Xã Hưng Đạo"
1042,Hà Nội,Hà Nội,Xã Hương Sơn,"Xã An Tiến, Xã Hùng Tiến, Xã Vạn Tín, Xã Hương Sơn"
1043,Hà Nội,Hà Nội,Phường Khương Đình,"Phường Hạ Đình, Phường Khương Đình, Phường Khương Trung, Phường Đại Kim, Xã Tân Triều, Phường Thanh Xuân Trung (phần còn lại sau khi sáp nhập vào phường Thanh Xuân), Phường Thượng Đình (phần còn lại sau
khi sáp nhập vào phường Thanh Xuân)"
1044,Hà Nội,Hà Nội,Phường Kiến Hưng,"Phường Kiến Hưng, Phường Phú Lương, Phường Quang Trung (quận Hà Đông) (phần còn lại sau khi sáp nhập vào phường Hà Đông), Phường Hà Cầu (phần còn lại sau khi sáp nhập vào phường Hà Đông), Phường Phú La (phần
còn lại sau khi sáp nhập vào phường Dương Nội)"
1045,Hà Nội,Hà Nội,Xã Kiều Phú,"Xã Cấn Hữu, Xã Liệp Nghĩa, Xã Tuyết Nghĩa, Xã Ngọc Liệp (phần còn lại sau khi sáp nhập vào xã Tây Phương), Xã Quang Trung (phần còn lại sau khi sáp nhập vào xã Tây Phương), Xã Ngọc Mỹ (phần còn lại sau khi sáp nhập
vào xã Quốc Oai)"
1046,Hà Nội,Hà Nội,Xã Kim Anh,"Xã Tân Dân (huyện Sóc Sơn), Xã Minh Phú, Xã Minh Trí"
1047,Hà Nội,Hà Nội,Phường Kim Liên,"Phường Kim Liên, Phường Khương Thượng, Phường Nam Đồng, Phường Phương Liên Trung Tự, Phường Trung Liệt, Phường Phương Mai (phần còn lại sau khi sáp nhập vào phường Bạch Mai), Phường Quang Trung (quận Đống Đa) (phần còn lại sau khi sáp nhập vào phường Đống Đa)"
